epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,435.474,1.75977,3.98461,2.46286,0.85314,0.01399,0.00987,0.00432,3.28519,3.82237,5.38222,0.0670733,0.000332593,0.000332593
2,790.571,1.71008,3.83165,2.40137,0.85947,0.02156,0.01402,0.00605,3.50761,4.5114,5.44087,0.0340667,0.000659333,0.000659333
3,1138.23,1.66754,3.71592,2.3406,0.82997,0.02621,0.01858,0.00841,3.11819,3.75518,5.30991,0.00105355,0.000979474,0.000979474
4,1484.62,1.61869,3.60522,2.28881,0.91617,0.03998,0.02775,0.01323,3.0731,3.62505,4.94573,0.0009703,0.0009703,0.0009703
5,1822.03,1.57928,3.46708,2.24039,0.78225,0.04638,0.04145,0.0227,3.03878,3.21416,5.49582,0.0009604,0.0009604,0.0009604
6,2159.6,1.54879,3.36218,2.21095,0.93437,0.04003,0.04296,0.0236,3.0535,3.21886,4.83774,0.0009505,0.0009505,0.0009505
7,2498.7,1.5145,3.3095,2.17551,0.7044,0.05509,0.04733,0.02689,2.98547,3.31781,4.85192,0.0009406,0.0009406,0.0009406
8,2837.5,1.49111,3.26065,2.15755,0.66888,0.07041,0.05658,0.03392,2.94651,3.11963,5.09922,0.0009307,0.0009307,0.0009307
9,3171.84,1.48072,3.1713,2.13729,0.64213,0.06995,0.05693,0.03418,2.99387,3.07171,4.80078,0.0009208,0.0009208,0.0009208
10,3508.29,1.47454,3.14768,2.1304,0.88014,0.06602,0.05702,0.03207,2.93568,3.02363,5.03467,0.0009109,0.0009109,0.0009109
11,3844.62,1.44733,3.09957,2.10277,0.58833,0.08022,0.06132,0.03628,2.94205,3.01431,5.26484,0.000901,0.000901,0.000901
12,4180.8,1.43575,3.04357,2.08547,0.67053,0.07199,0.05152,0.02744,2.99536,3.04147,4.97788,0.0008911,0.0008911,0.0008911
13,4512.11,1.4215,3.00667,2.07298,0.55345,0.09029,0.07357,0.04177,2.91931,2.85822,4.71441,0.0008812,0.0008812,0.0008812
14,4843.98,1.40425,2.9467,2.05843,0.4252,0.09254,0.06839,0.03897,2.91552,2.92819,4.96402,0.0008713,0.0008713,0.0008713
15,5172.15,1.39456,2.92258,2.04805,0.54921,0.10138,0.0783,0.0437,2.94785,2.74999,5.45535,0.0008614,0.0008614,0.0008614
16,5502.14,1.38655,2.89808,2.04468,0.6644,0.078,0.06695,0.04006,2.89358,2.95007,5.08455,0.0008515,0.0008515,0.0008515
17,5832.08,1.37516,2.88163,2.02917,0.62107,0.08154,0.07445,0.04251,2.91201,2.76939,5.15461,0.0008416,0.0008416,0.0008416
18,6161.03,1.38228,2.86185,2.03267,0.38228,0.11814,0.07428,0.04238,2.89754,2.77272,4.85893,0.0008317,0.0008317,0.0008317
19,6492.19,1.35559,2.81883,2.01165,0.55958,0.10716,0.09097,0.05273,2.815,2.61545,5.23173,0.0008218,0.0008218,0.0008218
20,6822.43,1.34834,2.80761,1.99773,0.73903,0.09721,0.09087,0.05158,2.83808,2.631,5.08798,0.0008119,0.0008119,0.0008119
21,7151.48,1.34372,2.76168,1.98962,0.38552,0.12278,0.09194,0.05358,2.90992,2.69316,4.9314,0.000802,0.000802,0.000802
22,7478.31,1.33285,2.7693,1.97977,0.52128,0.09612,0.08778,0.05291,2.79878,2.52073,5.19244,0.0007921,0.0007921,0.0007921
23,7806.63,1.34498,2.73206,1.99191,0.69832,0.09047,0.08077,0.04812,2.90388,2.76379,5.06694,0.0007822,0.0007822,0.0007822
24,8134.96,1.31982,2.7082,1.97138,0.46564,0.11147,0.08912,0.05162,2.83947,2.5733,4.9833,0.0007723,0.0007723,0.0007723
25,8463.86,1.31608,2.68904,1.95823,0.22382,0.137,0.10042,0.05852,2.80095,2.44452,5.34318,0.0007624,0.0007624,0.0007624
26,8788.9,1.31726,2.68719,1.96416,0.41831,0.11508,0.08688,0.05137,2.8607,2.64527,5.29896,0.0007525,0.0007525,0.0007525
27,9113.45,1.3181,2.63214,1.9602,0.44509,0.12635,0.10328,0.06104,2.79252,2.50507,5.11458,0.0007426,0.0007426,0.0007426
28,9438.6,1.3056,2.63672,1.94321,0.2935,0.15571,0.11478,0.06325,2.73487,2.34742,4.61518,0.0007327,0.0007327,0.0007327
29,9762.68,1.29035,2.57533,1.93347,0.2752,0.14934,0.10123,0.06048,2.77755,2.36139,5.21994,0.0007228,0.0007228,0.0007228
30,10091.2,1.29074,2.54441,1.93016,0.26535,0.15285,0.10987,0.06366,2.76856,2.29999,5.01872,0.0007129,0.0007129,0.0007129
31,10422,1.28542,2.54178,1.92578,0.2074,0.15514,0.11232,0.06613,2.73326,2.23525,4.83438,0.000703,0.000703,0.000703
32,10751.6,1.27386,2.49845,1.91233,0.30039,0.15712,0.10797,0.06383,2.74342,2.37105,4.85558,0.0006931,0.0006931,0.0006931
33,11084.1,1.27458,2.51074,1.90923,0.39582,0.14376,0.11043,0.06714,2.75424,2.33787,4.90227,0.0006832,0.0006832,0.0006832
34,11414.8,1.26485,2.48422,1.90599,0.43282,0.13923,0.11826,0.0694,2.73166,2.22792,5.0804,0.0006733,0.0006733,0.0006733
35,11746.4,1.2533,2.46006,1.89859,0.1784,0.17345,0.11778,0.06849,2.71257,2.24611,5.11264,0.0006634,0.0006634,0.0006634
36,341.561,1.25819,2.49222,1.89029,0.33461,0.16707,0.11417,0.06772,2.71943,2.25434,5.32467,0.0006535,0.0006535,0.0006535
37,666.83,1.24749,2.42599,1.88216,0.26024,0.15288,0.11216,0.06785,2.73805,2.24695,5.05401,0.0006436,0.0006436,0.0006436
38,991.28,1.24624,2.40643,1.8812,0.23565,0.18114,0.12619,0.07226,2.69877,2.18029,5.086,0.0006337,0.0006337,0.0006337
39,1315.42,1.23757,2.42208,1.87835,0.2029,0.18103,0.12338,0.07039,2.6818,2.1723,4.72318,0.0006238,0.0006238,0.0006238
40,1635.58,1.23838,2.37967,1.87585,0.18489,0.1923,0.126,0.0717,2.69608,2.09107,5.24492,0.0006139,0.0006139,0.0006139
41,1955.55,1.23051,2.36464,1.86802,0.19333,0.19306,0.12975,0.07386,2.70108,2.12255,5.24986,0.000604,0.000604,0.000604
42,2276.28,1.21202,2.36825,1.85521,0.26388,0.19042,0.12639,0.07458,2.68548,2.11518,5.3229,0.0005941,0.0005941,0.0005941
43,2596.58,1.22182,2.34466,1.85626,0.17508,0.19132,0.12576,0.07233,2.64799,2.05752,5.12651,0.0005842,0.0005842,0.0005842
44,2916.18,1.21212,2.30026,1.84537,0.17587,0.20885,0.1311,0.07547,2.64535,2.02856,4.94765,0.0005743,0.0005743,0.0005743
45,3236.52,1.2082,2.30872,1.84607,0.23418,0.18838,0.13092,0.07475,2.66046,2.0147,4.94396,0.0005644,0.0005644,0.0005644
46,3556.57,1.20234,2.28869,1.83931,0.19687,0.18524,0.12486,0.07357,2.64816,2.05,5.03929,0.0005545,0.0005545,0.0005545
47,3876.18,1.19856,2.25724,1.82638,0.16832,0.2036,0.13073,0.07554,2.64061,2.00317,5.35316,0.0005446,0.0005446,0.0005446
48,4197.5,1.19134,2.23786,1.82332,0.22393,0.19517,0.13086,0.07708,2.6513,1.99264,5.09178,0.0005347,0.0005347,0.0005347
49,4518.21,1.17863,2.23332,1.81516,0.18401,0.19967,0.13664,0.07916,2.65793,2.03979,5.18378,0.0005248,0.0005248,0.0005248
50,4839.43,1.17356,2.19386,1.80968,0.20155,0.20858,0.1405,0.08234,2.64062,1.96783,5.1362,0.0005149,0.0005149,0.0005149
51,5161.75,1.16754,2.17786,1.80897,0.16186,0.20825,0.13862,0.07929,2.63784,1.953,5.15099,0.000505,0.000505,0.000505
52,5482.95,1.17594,2.18624,1.81247,0.2045,0.22033,0.13989,0.08169,2.6105,1.94153,5.08492,0.0004951,0.0004951,0.0004951
53,5803.28,1.17498,2.16818,1.80569,0.18626,0.20665,0.13669,0.07936,2.62997,1.95268,5.38231,0.0004852,0.0004852,0.0004852
54,6126.04,1.15768,2.15123,1.79949,0.17939,0.22641,0.14481,0.08246,2.6066,1.90517,5.13061,0.0004753,0.0004753,0.0004753
55,6452.03,1.15528,2.14847,1.78953,0.22215,0.23378,0.14575,0.08411,2.61029,1.87764,5.13843,0.0004654,0.0004654,0.0004654
56,6779.02,1.15416,2.12375,1.78482,0.1672,0.22649,0.13584,0.07965,2.62095,1.93392,5.39452,0.0004555,0.0004555,0.0004555
57,7105.25,1.15074,2.12174,1.78155,0.1823,0.21677,0.13754,0.08054,2.62412,1.93482,5.27043,0.0004456,0.0004456,0.0004456
58,7433.44,1.15642,2.11569,1.78756,0.19597,0.20235,0.14262,0.08214,2.60692,1.88256,5.0952,0.0004357,0.0004357,0.0004357
59,7761.37,1.14272,2.09271,1.77723,0.19,0.21927,0.13676,0.08045,2.60037,1.90449,5.29156,0.0004258,0.0004258,0.0004258
60,8088.47,1.12847,2.09047,1.75851,0.18051,0.21707,0.14192,0.0833,2.60482,1.86992,5.20746,0.0004159,0.0004159,0.0004159
61,8414.46,1.12765,2.07136,1.76607,0.18001,0.22911,0.14231,0.08382,2.57552,1.84951,5.22796,0.000406,0.000406,0.000406
62,8739.14,1.12997,2.04001,1.7638,0.1771,0.24818,0.1509,0.08832,2.57581,1.81891,5.13661,0.0003961,0.0003961,0.0003961
63,9064.56,1.12391,2.05438,1.75318,0.19302,0.23203,0.15058,0.08577,2.58404,1.82129,5.17286,0.0003862,0.0003862,0.0003862
64,9389.61,1.1099,2.01408,1.74332,0.18415,0.23886,0.14612,0.08489,2.57064,1.81559,5.27351,0.0003763,0.0003763,0.0003763
65,9713.85,1.11043,1.99712,1.74226,0.19115,0.21467,0.14361,0.08523,2.55613,1.82258,5.2452,0.0003664,0.0003664,0.0003664
66,10039.3,1.10693,2.00022,1.74163,0.18434,0.22938,0.14876,0.08773,2.58004,1.83546,5.24841,0.0003565,0.0003565,0.0003565
67,10364.9,1.10199,1.96122,1.73263,0.18915,0.24714,0.14985,0.08802,2.56291,1.82018,5.09574,0.0003466,0.0003466,0.0003466
68,10692.2,1.10243,1.99042,1.73546,0.17091,0.25629,0.14581,0.08675,2.5479,1.79365,5.00216,0.0003367,0.0003367,0.0003367
69,11018.9,1.08849,1.96221,1.72506,0.1889,0.25349,0.14728,0.08563,2.57208,1.78998,5.24738,0.0003268,0.0003268,0.0003268
70,11344.8,1.07629,1.93422,1.70973,0.19152,0.24936,0.15242,0.08841,2.56243,1.79418,5.17883,0.0003169,0.0003169,0.0003169
71,11671.6,1.08263,1.92925,1.70611,0.18816,0.24732,0.15053,0.08885,2.54959,1.79255,5.14495,0.000307,0.000307,0.000307
72,11998,1.07705,1.91483,1.70739,0.18231,0.27859,0.15576,0.09072,2.55679,1.78802,5.2103,0.0002971,0.0002971,0.0002971
73,12324.6,1.07766,1.91984,1.71365,0.18079,0.26118,0.15294,0.08997,2.54621,1.79581,5.18201,0.0002872,0.0002872,0.0002872
74,12651.1,1.0721,1.89704,1.70069,0.18965,0.25817,0.15222,0.08932,2.54899,1.79656,5.14868,0.0002773,0.0002773,0.0002773
75,12977.8,1.06744,1.8846,1.69761,0.19775,0.24629,0.15646,0.08937,2.55478,1.78689,5.23722,0.0002674,0.0002674,0.0002674
76,13304.2,1.0607,1.87487,1.6923,0.19092,0.25834,0.1602,0.09298,2.53816,1.75511,5.26053,0.0002575,0.0002575,0.0002575
77,13630.3,1.04965,1.85366,1.68056,0.19498,0.27774,0.16329,0.09329,2.52883,1.74353,5.25107,0.0002476,0.0002476,0.0002476
78,13957.6,1.05768,1.85467,1.68921,0.19144,0.26868,0.1573,0.09191,2.52954,1.76488,5.18283,0.0002377,0.0002377,0.0002377
79,14284.9,1.0446,1.82827,1.67783,0.19555,0.26588,0.1542,0.09011,2.5422,1.77964,5.29946,0.0002278,0.0002278,0.0002278
80,14611.3,1.05029,1.84642,1.68499,0.19261,0.26464,0.15394,0.09079,2.54058,1.76173,5.34972,0.0002179,0.0002179,0.0002179
