epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.964,1.6609,5.71743,3.79601,0.00359,0.02526,0.00318,0.00176,1.37683,3.9808,3.39699,4.38321e-05,4.38321e-05,4.38321e-05
2,327.747,1.30638,4.6938,3.49988,0.02619,0.3703,0.0518,0.03091,1.32053,3.41325,3.40452,8.6093e-05,8.6093e-05,8.6093e-05
3,480.959,1.32138,4.03032,3.4508,0.34159,0.19175,0.11327,0.06885,1.34436,3.08947,3.30592,0.000126612,0.000126612,0.000126612
4,622.022,1.28848,3.63454,3.3924,0.33604,0.23052,0.17656,0.11451,1.28889,2.82899,3.27711,0.000124159,0.000124159,0.000124159
5,761.792,1.27687,3.35298,3.37018,0.46162,0.26065,0.23592,0.156,1.25499,2.65459,3.26436,0.000121546,0.000121546,0.000121546
6,901.237,1.25585,3.12413,3.334,0.36309,0.3089,0.26249,0.17364,1.29585,2.55567,3.2306,0.000118932,0.000118932,0.000118932
7,1039.48,1.2452,2.96584,3.31499,0.37901,0.33519,0.31294,0.20465,1.24609,2.40816,3.2744,0.000116318,0.000116318,0.000116318
8,1177.09,1.20709,2.7947,3.28465,0.41167,0.33363,0.32428,0.21595,1.28284,2.33971,3.25865,0.000113705,0.000113705,0.000113705
9,1317.29,1.20343,2.67473,3.25946,0.40763,0.3601,0.36564,0.24394,1.22681,2.21624,3.20952,0.000111091,0.000111091,0.000111091
10,1453.57,1.17196,2.58551,3.24423,0.37145,0.40885,0.37646,0.25457,1.18058,2.17092,3.24442,0.000108478,0.000108478,0.000108478
11,1592.49,1.16421,2.50562,3.22996,0.43433,0.39958,0.408,0.28317,1.18224,2.09089,3.23631,0.000105864,0.000105864,0.000105864
12,1731.9,1.1533,2.40465,3.23739,0.45547,0.4019,0.43014,0.29735,1.18614,2.01442,3.19598,0.00010325,0.00010325,0.00010325
13,1871.27,1.14001,2.36351,3.18924,0.46737,0.43711,0.43372,0.29439,1.1917,2.03979,3.18871,0.000100637,0.000100637,0.000100637
14,2006.83,1.13552,2.28718,3.17506,0.48956,0.41339,0.45458,0.31752,1.15397,1.9501,3.20206,9.80232e-05,9.80232e-05,9.80232e-05
15,2146.67,1.11357,2.21273,3.16324,0.4967,0.4192,0.45353,0.3151,1.16874,1.95435,3.1857,9.54096e-05,9.54096e-05,9.54096e-05
16,2284.55,1.10392,2.17137,3.14783,0.4639,0.49056,0.497,0.34658,1.15351,1.83473,3.16314,9.2796e-05,9.2796e-05,9.2796e-05
17,2421.02,1.09662,2.12058,3.14524,0.46088,0.47822,0.49203,0.34149,1.14762,1.84089,3.20782,9.01824e-05,9.01824e-05,9.01824e-05
18,2559.6,1.0947,2.07674,3.1393,0.49531,0.49933,0.51477,0.36453,1.14558,1.80157,3.17684,8.75688e-05,8.75688e-05,8.75688e-05
