epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.2554,1.07734,1.74218,1.59155,0.51051,0.43992,0.41152,0.25303,1.29403,5.9745,2.10796,0.06725,0.000330808,0.000330808
2,140.437,1.21659,1.63799,1.70249,0.34553,0.29741,0.31412,0.17875,1.6043,4.49718,2.43861,0.0342434,0.000657566,0.000657566
3,196.912,1.25141,1.64531,1.7086,0.43993,0.4455,0.36458,0.21643,1.45851,2.6067,2.22219,0.00123025,0.000977725,0.000977725
4,253.735,1.22618,1.54298,1.71063,0.6284,0.46394,0.5138,0.30344,1.57923,3.02971,2.31007,0.0009703,0.0009703,0.0009703
5,310.333,1.19392,1.49258,1.6762,0.68327,0.55398,0.61944,0.38239,1.36439,1.88865,2.0663,0.0009604,0.0009604,0.0009604
6,366.288,1.135,1.35088,1.6066,0.68752,0.58116,0.68647,0.44522,1.18598,1.56658,1.79453,0.0009505,0.0009505,0.0009505
7,422.63,1.10624,1.30701,1.59067,0.64293,0.65924,0.69063,0.46389,1.1608,1.53103,1.80577,0.0009406,0.0009406,0.0009406
8,478.452,1.07036,1.25319,1.55851,0.7674,0.68298,0.77862,0.51017,1.21113,1.26513,1.84814,0.0009307,0.0009307,0.0009307
9,534.831,1.02138,1.18324,1.50379,0.76016,0.75532,0.83195,0.59794,1.01923,1.10144,1.66553,0.0009208,0.0009208,0.0009208
10,591.043,0.98938,1.15285,1.49446,0.82255,0.69841,0.81687,0.60169,0.96679,1.07466,1.59483,0.0009109,0.0009109,0.0009109
11,647.181,0.97539,1.06215,1.47629,0.7662,0.73065,0.8283,0.59897,0.98477,1.10391,1.62109,0.000901,0.000901,0.000901
12,702.807,0.97696,1.0951,1.48914,0.84133,0.76362,0.85362,0.62302,1.03936,0.95867,1.67568,0.0008911,0.0008911,0.0008911
13,758.718,0.92324,1.02665,1.43408,0.81334,0.78975,0.87524,0.65342,0.93219,0.91031,1.5766,0.0008812,0.0008812,0.0008812
14,814.702,0.92418,0.99249,1.43927,0.83118,0.75504,0.85538,0.63976,0.93972,0.95109,1.57614,0.0008713,0.0008713,0.0008713
15,870.537,0.88593,0.95957,1.42041,0.8782,0.76616,0.88092,0.66175,0.92502,0.85599,1.57144,0.0008614,0.0008614,0.0008614
16,926.697,0.88013,0.93953,1.39067,0.87059,0.81425,0.90236,0.67614,0.95218,0.80316,1.59001,0.0008515,0.0008515,0.0008515
17,982.71,0.91193,0.95365,1.42318,0.88286,0.76079,0.8816,0.68027,0.88346,0.85102,1.49895,0.0008416,0.0008416,0.0008416
18,1038.64,0.88343,0.90975,1.38459,0.8791,0.8026,0.90667,0.68575,0.89888,0.81612,1.51541,0.0008317,0.0008317,0.0008317
19,1094.93,0.87677,0.90539,1.40715,0.84738,0.80111,0.89765,0.6859,0.8882,0.8169,1.52905,0.0008218,0.0008218,0.0008218
20,1150.97,0.86799,0.88607,1.37674,0.87384,0.75979,0.88982,0.70705,0.80926,0.79595,1.44154,0.0008119,0.0008119,0.0008119
21,1208.37,0.82868,0.87391,1.36285,0.86582,0.81101,0.91399,0.71721,0.84689,0.79253,1.4878,0.000802,0.000802,0.000802
22,1264.03,0.85006,0.85052,1.3727,0.88,0.84968,0.91667,0.72055,0.85136,0.72221,1.4664,0.0007921,0.0007921,0.0007921
23,1320.08,0.84228,0.81949,1.35595,0.92072,0.82671,0.92063,0.72148,0.84789,0.70799,1.46803,0.0007822,0.0007822,0.0007822
24,1376.4,0.79756,0.80799,1.32445,0.86702,0.80379,0.90389,0.68992,0.90276,0.74499,1.51584,0.0007723,0.0007723,0.0007723
25,1432.26,0.81228,0.84605,1.35004,0.87261,0.78884,0.89616,0.69335,0.83691,0.77211,1.48055,0.0007624,0.0007624,0.0007624
26,1488.07,0.81322,0.83331,1.3378,0.90891,0.81248,0.92317,0.72068,0.85228,0.69507,1.46571,0.0007525,0.0007525,0.0007525
27,1544.08,0.79677,0.80792,1.31946,0.89397,0.81354,0.90948,0.7084,0.85738,0.74645,1.49051,0.0007426,0.0007426,0.0007426
28,1600.12,0.78943,0.78384,1.30917,0.87233,0.83723,0.91735,0.73087,0.80279,0.68488,1.40492,0.0007327,0.0007327,0.0007327
29,1656.39,0.76946,0.73664,1.2978,0.91336,0.83141,0.92247,0.72385,0.84037,0.67576,1.47723,0.0007228,0.0007228,0.0007228
30,1711.97,0.7661,0.75736,1.31144,0.91276,0.8266,0.92942,0.74747,0.78943,0.66917,1.38321,0.0007129,0.0007129,0.0007129
31,1768.7,0.76492,0.73666,1.29379,0.88113,0.85731,0.92874,0.72382,0.82118,0.68575,1.44765,0.000703,0.000703,0.000703
32,1824.6,0.7422,0.71532,1.28416,0.91095,0.8194,0.91921,0.72417,0.81752,0.68865,1.44687,0.0006931,0.0006931,0.0006931
33,1880.46,0.74202,0.71591,1.29359,0.91181,0.84497,0.93115,0.74641,0.804,0.64812,1.40421,0.0006832,0.0006832,0.0006832
34,1936.58,0.72827,0.67273,1.25806,0.8959,0.87929,0.94368,0.74883,0.78563,0.61368,1.38379,0.0006733,0.0006733,0.0006733
35,1993.19,0.74389,0.69309,1.25815,0.88345,0.86227,0.92683,0.74778,0.77937,0.65306,1.3932,0.0006634,0.0006634,0.0006634
36,2048.88,0.70364,0.67297,1.24777,0.89244,0.84633,0.93746,0.74736,0.76954,0.64072,1.39793,0.0006535,0.0006535,0.0006535
37,2104.77,0.70597,0.65837,1.25035,0.91223,0.86839,0.93957,0.75269,0.80614,0.60816,1.4221,0.0006436,0.0006436,0.0006436
38,2161.45,0.71296,0.64134,1.24722,0.91757,0.8337,0.93076,0.74549,0.78493,0.66082,1.39654,0.0006337,0.0006337,0.0006337
39,2217.38,0.72107,0.68994,1.25616,0.91127,0.82758,0.93195,0.749,0.77201,0.62733,1.39788,0.0006238,0.0006238,0.0006238
40,2273.19,0.71004,0.67621,1.25021,0.887,0.86753,0.93423,0.76061,0.74757,0.64799,1.36106,0.0006139,0.0006139,0.0006139
41,2330.68,0.70647,0.68264,1.25384,0.87388,0.83325,0.92749,0.76271,0.72601,0.61079,1.33085,0.000604,0.000604,0.000604
42,2386.6,0.67618,0.62794,1.2253,0.9425,0.84861,0.93741,0.75645,0.78828,0.62251,1.38685,0.0005941,0.0005941,0.0005941
43,2442.46,0.67435,0.62085,1.2235,0.90714,0.88385,0.94402,0.77488,0.73478,0.58049,1.36251,0.0005842,0.0005842,0.0005842
44,2498.93,0.71527,0.66609,1.25143,0.88539,0.84596,0.92992,0.75718,0.76181,0.65729,1.37907,0.0005743,0.0005743,0.0005743
45,2554.56,0.67756,0.62341,1.22434,0.92589,0.86305,0.94349,0.77227,0.74807,0.59445,1.36564,0.0005644,0.0005644,0.0005644
46,2610.52,0.66036,0.59791,1.20893,0.94985,0.87911,0.94913,0.7801,0.74509,0.5362,1.3718,0.0005545,0.0005545,0.0005545
47,2666.99,0.67459,0.60007,1.21618,0.92432,0.83426,0.93666,0.76673,0.74159,0.59505,1.37002,0.0005446,0.0005446,0.0005446
48,2722.63,0.65943,0.6094,1.209,0.93843,0.82682,0.94037,0.7569,0.7485,0.58587,1.3703,0.0005347,0.0005347,0.0005347
49,2778.34,0.66121,0.58116,1.19866,0.92949,0.81583,0.9369,0.76642,0.72937,0.59919,1.3557,0.0005248,0.0005248,0.0005248
50,2834.43,0.64786,0.59137,1.20036,0.9392,0.85181,0.94648,0.77931,0.7147,0.59812,1.34797,0.0005149,0.0005149,0.0005149
51,2890.11,0.65129,0.59005,1.20747,0.93587,0.87465,0.94719,0.77015,0.73467,0.56619,1.37034,0.000505,0.000505,0.000505
52,2945.93,0.64447,0.57026,1.20008,0.95054,0.86476,0.95103,0.77911,0.73936,0.56302,1.34526,0.0004951,0.0004951,0.0004951
53,3001.7,0.64699,0.57079,1.19793,0.95533,0.85134,0.95022,0.78682,0.69464,0.53388,1.30345,0.0004852,0.0004852,0.0004852
54,3057.45,0.61993,0.54326,1.18274,0.94225,0.85676,0.94502,0.7752,0.70963,0.55325,1.34688,0.0004753,0.0004753,0.0004753
55,3113.18,0.61078,0.54431,1.17344,0.89412,0.88782,0.93928,0.76999,0.68818,0.55613,1.29782,0.0004654,0.0004654,0.0004654
56,3168.8,0.62129,0.53873,1.17001,0.93679,0.84055,0.94427,0.78742,0.68505,0.52875,1.30351,0.0004555,0.0004555,0.0004555
57,3225.09,0.61116,0.55107,1.18149,0.901,0.86315,0.93804,0.76545,0.7496,0.54304,1.39169,0.0004456,0.0004456,0.0004456
58,3281,0.61747,0.55505,1.17034,0.92049,0.92126,0.95936,0.79037,0.70609,0.48471,1.34243,0.0004357,0.0004357,0.0004357
59,3337.36,0.60679,0.53753,1.1618,0.96411,0.84403,0.94987,0.80131,0.67358,0.50711,1.29044,0.0004258,0.0004258,0.0004258
60,3394.58,0.58111,0.5112,1.15818,0.95817,0.89176,0.96492,0.80813,0.65975,0.47989,1.26756,0.0004159,0.0004159,0.0004159
61,3451.03,0.59012,0.52033,1.15518,0.93169,0.89276,0.96346,0.80233,0.66972,0.46079,1.2802,0.000406,0.000406,0.000406
62,3506.28,0.61424,0.52078,1.17108,0.93129,0.87572,0.95483,0.78805,0.70345,0.53605,1.30969,0.0003961,0.0003961,0.0003961
63,3561.99,0.58325,0.50107,1.14958,0.95228,0.84327,0.94718,0.79815,0.68917,0.53521,1.32117,0.0003862,0.0003862,0.0003862
64,3617.8,0.58524,0.50529,1.14991,0.90346,0.88646,0.95486,0.80176,0.67428,0.50798,1.30608,0.0003763,0.0003763,0.0003763
65,3673.48,0.585,0.51566,1.15576,0.95418,0.8566,0.95685,0.80376,0.6687,0.48767,1.31026,0.0003664,0.0003664,0.0003664
66,3728.82,0.57453,0.49019,1.14263,0.94915,0.87741,0.95281,0.79711,0.66856,0.47073,1.2914,0.0003565,0.0003565,0.0003565
67,3784.86,0.57115,0.49008,1.13994,0.96225,0.84627,0.95918,0.8061,0.68289,0.49532,1.3014,0.0003466,0.0003466,0.0003466
68,3840.27,0.55454,0.48128,1.12127,0.90815,0.89802,0.9507,0.79623,0.66957,0.50643,1.32416,0.0003367,0.0003367,0.0003367
69,3895.63,0.56036,0.47563,1.13129,0.94411,0.90712,0.95915,0.81667,0.66285,0.48295,1.29438,0.0003268,0.0003268,0.0003268
70,3951.73,0.54861,0.4727,1.12433,0.93522,0.89349,0.95875,0.80709,0.65732,0.50543,1.29022,0.0003169,0.0003169,0.0003169
71,4007.41,0.56266,0.48081,1.13864,0.95416,0.89915,0.9703,0.82099,0.67427,0.45474,1.28306,0.000307,0.000307,0.000307
72,4063.47,0.53447,0.46082,1.11154,0.9309,0.89251,0.95964,0.81355,0.66898,0.46936,1.30204,0.0002971,0.0002971,0.0002971
73,4119.25,0.53567,0.4459,1.10726,0.94707,0.90086,0.96697,0.81171,0.65364,0.44463,1.2994,0.0002872,0.0002872,0.0002872
